Días,Infectados,Recuperados,Muertos,Población Total
0,203,8,3,1932
1,243,18,7,1928
2,289,30,11,1924
3,341,44,16,1919
4,399,61,22,1913
5,462,80,29,1906
6,527,103,38,1897
7,594,129,48,1887
8,661,158,59,1876
9,723,191,72,1863
10,779,227,86,1849
11,827,265,101,1834
12,865,306,117,1818
13,891,349,134,1801
14,907,393,151,1784
15,912,438,169,1766
16,907,483,187,1748
17,894,528,205,1730
18,875,572,222,1713
19,851,615,239,1696
20,822,657,256,1679
21,790,698,272,1663
22,757,737,287,1648
23,723,774,302,1633
24,688,810,316,1619
25,653,844,329,1606
26,619,876,342,1593
27,586,906,354,1581
28,554,935,365,1570
29,522,962,376,1559
30,492,988,386,1549
31,464,1012,395,1540
32,436,1035,404,1531
33,411,1056,412,1523
34,386,1076,420,1515
35,363,1095,427,1508
36,340,1113,434,1501
37,319,1130,440,1495
38,300,1145,446,1489
39,281,1160,452,1483
40,263,1174,457,1478
